place_id,種別,名称,カテゴリ,住所,latitude,longitude,座標ステータス,座標情報源,営業日,営業時間,定休日,朝食向き,おやつ向き,昼食向き,夕食向き,休憩向き,体験・できること,推奨滞在時間_分,Google評価,口コミ件数,価格帯,電話番号,Googleマップ検索URL,情報源,情報取得日,確認ステータス
X001,観光・文化,おんばしら館 よいさ,博物館・体験,〒393-0092 長野県諏訪郡下諏訪町168-1,,,要座標取得,,毎日,09:00-17:00,年末年始・臨時休館,,,,,,御柱祭の展示を見る・木落し体験,45-75,,,,0266-26-0413,https://www.google.com/maps/search/?api=1&query=%E3%81%8A%E3%82%93%E3%81%B0%E3%81%97%E3%82%89%E9%A4%A8%20%E3%82%88%E3%81%84%E3%81%95%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪町公式・下諏訪観光公式,2026-08-23,要座標確認
X002,観光・案内,下諏訪駅観光案内所,観光案内所,〒393-0056 長野県諏訪郡下諏訪町5317（JR下諏訪駅構内）,,,要座標取得,,月・火・木・金・土・日,09:00-17:00,水,,,,,○,観光情報を得る・お土産を見る・休憩,10-30,,,,0266-28-2231,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E8%AB%8F%E8%A8%AA%E9%A7%85%E8%A6%B3%E5%85%89%E6%A1%88%E5%86%85%E6%89%80%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X003,観光・休憩,しもすわ湯のまち商店,観光休憩・買い物,〒393-0051 長野県諏訪郡下諏訪町大社通3556 八幡坂高札ひろば土蔵内,,,要座標取得,,,,,,,,,,休憩する・地域商品を見る,15-40,,,,,https://www.google.com/maps/search/?api=1&query=%E3%81%97%E3%82%82%E3%81%99%E3%82%8F%E6%B9%AF%E3%81%AE%E3%81%BE%E3%81%A1%E5%95%86%E5%BA%97%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X004,文化,星ケ塔ミュージアム 矢の根や,博物館,〒393-0015 長野県諏訪郡下諏訪町3289 しもすわ今昔館おいでや内,,,要座標取得,,,,,,,,,,黒曜石と考古資料を見る,30-60,,,,0266-27-0001,https://www.google.com/maps/search/?api=1&query=%E6%98%9F%E3%82%B1%E5%A1%94%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0%20%E7%9F%A2%E3%81%AE%E6%A0%B9%E3%82%84%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X005,文化・体験,時計工房 儀象堂,博物館・体験,〒393-0015 長野県諏訪郡下諏訪町3289 しもすわ今昔館おいでや内,,,要座標取得,,,,,,,,,,時計展示を見る・時計づくり体験,45-120,,,,0266-27-0001,https://www.google.com/maps/search/?api=1&query=%E6%99%82%E8%A8%88%E5%B7%A5%E6%88%BF%20%E5%84%80%E8%B1%A1%E5%A0%82%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X006,史跡,星ヶ塔遺跡（黒曜石採掘遺跡）,遺跡,長野県諏訪郡下諏訪町,,,要座標取得,,,,,,,,,,縄文時代の黒曜石採掘遺跡を知る,30-90,,,,,https://www.google.com/maps/search/?api=1&query=%E6%98%9F%E3%83%B6%E5%A1%94%E9%81%BA%E8%B7%A1%EF%BC%88%E9%BB%92%E6%9B%9C%E7%9F%B3%E6%8E%A1%E6%8E%98%E9%81%BA%E8%B7%A1%EF%BC%89%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪町公式・下諏訪観光公式,2026-08-23,要座標確認
X007,史跡,梶原塚,史跡,長野県諏訪郡下諏訪町,,,要座標取得,,,,,,,,,,史跡を見る・歴史を知る,10-25,,,,,https://www.google.com/maps/search/?api=1&query=%E6%A2%B6%E5%8E%9F%E5%A1%9A%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X008,自然・案内,八島ビジターセンター あざみ館,ビジターセンター,長野県諏訪郡下諏訪町10618,,,要座標取得,,,,,,,,,○,八島湿原の自然情報を得る・展示を見る,20-45,,,,,https://www.google.com/maps/search/?api=1&query=%E5%85%AB%E5%B3%B6%E3%83%93%E3%82%B8%E3%82%BF%E3%83%BC%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E3%81%82%E3%81%96%E3%81%BF%E9%A4%A8%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪町公式・下諏訪観光公式,2026-08-23,要座標確認
X009,史跡,中山道・甲州道中合流之地,史跡・街道,長野県諏訪郡下諏訪町,,,要座標取得,,,,,,,,,,中山道と甲州道中の合流地点を見る,10-25,,,,,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%B1%B1%E9%81%93%E3%83%BB%E7%94%B2%E5%B7%9E%E9%81%93%E4%B8%AD%E5%90%88%E6%B5%81%E4%B9%8B%E5%9C%B0%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X010,自然,東俣国有林（観音沢）,自然・森林,長野県諏訪郡下諏訪町東俣,,,要座標取得,,,,,,,,,○,森林散策・自然観察,45-120,,,,,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BF%A3%E5%9B%BD%E6%9C%89%E6%9E%97%EF%BC%88%E8%A6%B3%E9%9F%B3%E6%B2%A2%EF%BC%89%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X011,地域・交流,mee mee center Sumeba,地域交流・まちづくり,長野県諏訪郡下諏訪町,,,要座標取得,,,,,,,,,,地域活動やまちづくりに触れる,20-60,,,,,https://www.google.com/maps/search/?api=1&query=mee%20mee%20center%20Sumeba%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X012,まち歩き,御田町商店街,商店街,長野県諏訪郡下諏訪町御田町,,,要座標取得,,,,,,,,,,商店街を歩く・買い物・町並みを見る,20-60,,,,,https://www.google.com/maps/search/?api=1&query=%E5%BE%A1%E7%94%B0%E7%94%BA%E5%95%86%E5%BA%97%E8%A1%97%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X013,スポーツ・湖畔,下諏訪ローイングパーク（AQUA未来）,スポーツ施設・湖畔,長野県諏訪郡下諏訪町,,,要座標取得,,,,,,,,,,ボート・レガッタを見る・湖畔散策,20-90,,,,,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E8%AB%8F%E8%A8%AA%E3%83%AD%E3%83%BC%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%91%E3%83%BC%E3%82%AF%EF%BC%88AQUA%E6%9C%AA%E6%9D%A5%EF%BC%89%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X014,史跡,青塚古墳,古墳・史跡,長野県諏訪郡下諏訪町,,,要座標取得,,,,,,,,,,古墳を見る・地域史を知る,15-30,,,,,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E5%A1%9A%E5%8F%A4%E5%A2%B3%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X015,寺社,児宝地蔵尊,地蔵・史跡,長野県諏訪郡下諏訪町,,,要座標取得,,,,,,,,,,参拝・地域の信仰を知る,10-25,,,,,https://www.google.com/maps/search/?api=1&query=%E5%85%90%E5%AE%9D%E5%9C%B0%E8%94%B5%E5%B0%8A%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X016,史跡・自然,旧御射山遺跡,遺跡・自然,長野県諏訪郡下諏訪町,,,要座標取得,,,,,,,,,○,遺跡を見る・自然散策,30-90,,,,,https://www.google.com/maps/search/?api=1&query=%E6%97%A7%E5%BE%A1%E5%B0%84%E5%B1%B1%E9%81%BA%E8%B7%A1%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X017,御柱・史跡,木落し坂（下社）,名所・御柱,長野県諏訪郡下諏訪町町屋敷,,,要座標取得,,,,,,,,,,御柱祭の木落し坂を見る・写真,15-40,,,,,https://www.google.com/maps/search/?api=1&query=%E6%9C%A8%E8%90%BD%E3%81%97%E5%9D%82%EF%BC%88%E4%B8%8B%E7%A4%BE%EF%BC%89%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X018,史跡・建築,下馬橋,歴史建築,長野県諏訪郡下諏訪町大門,,,要座標取得,,,,,,,,,,下社最古の建造物を見る・写真,10-20,,,,,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E9%A6%AC%E6%A9%8B%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X019,寺社,来迎寺,寺院,〒393-0019 長野県諏訪郡下諏訪町横町木の下3454,,,要座標取得,,,,,,,,,,参拝・和泉式部ゆかりの地蔵を見る,20-40,,,,,https://www.google.com/maps/search/?api=1&query=%E6%9D%A5%E8%BF%8E%E5%AF%BA%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
X020,史跡・まち歩き,八幡坂 高札ひろば,広場・史跡,〒393-0051 長野県諏訪郡下諏訪町大社通3556,,,要座標取得,,,,,,,,,○,休憩・高札や町並みを見る,10-30,,,,,https://www.google.com/maps/search/?api=1&query=%E5%85%AB%E5%B9%A1%E5%9D%82%20%E9%AB%98%E6%9C%AD%E3%81%B2%E3%82%8D%E3%81%B0%20%E4%B8%8B%E8%AB%8F%E8%A8%AA%E7%94%BA,下諏訪観光公式,2026-08-23,要座標確認
